0001 | 0001
0001 | 0002
0001 | 0003
0001 | 0008
0001 | 0007
0004 | 0003
0004 | 0008
0002 | 0011
0019 | 0004
0003 | 0004
0003 | 0005
0003 | 0006
0003 | 0007
0019 | 0005
0019 | 0006
0019 | 0007
0005 | 0001
0005 | 0002
0005 | 0003
0005 | 0005
0005 | 0004
0005 | 0006
0005 | 0008
0005 | 0007
0005 | 0009
0005 | 0010
0005 | 0011
0020 | 0002
0019 | 0008
0008 | 0001
0004 | 0004
0021 | 0004
0021 | 0005
0021 | 0006
0020 | 0010
0020 | 0006
0004 | 0013
0021 | 0007
0004 | 0005
0003 | 0008
0022 | 0014
0004 | 0015
0023 | 0015
0024 | 0002
0004 | 0006
0003 | 0017
0027 | 0005
0027 | 0004
0027 | 0006
0027 | 0010
0001 | 0017
0026 | 0001
0026 | 0003
0026 | 0011
0031 | 0018
0031 | 0015
